PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date
28001,BdTR9b_R3S,BdTR9b,Clone4,3,718,BVZ0049,SRE,NCRIS-2,1A1,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12
28002,BdTR3d_R2S,BdTR3d,Clone2,2,680,BVZ0049,SRE,NCRIS-2,1A2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.2,2015-10-12
28003,BdTR5g_R1S,BdTR5g,Clone3,1,701,BVZ0049,SRE,NCRIS-2,1A3,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,0,2015-10-12
28004,BdTR9f_R1S,BdTR9f,Clone4,1,721,BVZ0049,SRE,NCRIS-2,1A4,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12
28005,BdTR13i_R1S,BdTR13i,Clone7,1,762,BVZ0049,SRE,NCRIS-2,1A5,2015-09-24,2015-10-02,2015-10-08,2015-11-20,Growth Stage,1.2,2015-10-12
28006,BdTR11h_R1S,BdTR11h,Clone6,1,749,BVZ0049,SRE,NCRIS-2,1B1,2015-09-24,2015-10-02,2015-10-09,2015-12-01,Growth Stage,0,2015-10-12
28007,BdTR2c_R1S,BdTR2c,Clone1,1,662,BVZ0049,SRE,NCRIS-2,1B2,2015-09-24,2015-10-02,2015-10-07,2015-11-26,Growth Stage,1.3,2015-10-12
28008,BdTR11h_R2S,BdTR11h,Clone6,2,749,BVZ0049,SRE,NCRIS-2,1B3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.1,2015-10-12
28009,KEI1_R3S,KEI1,HYB2,3,422,BVZ0049,SRE,NCRIS-2,1B4,2015-09-24,2015-10-02,2015-10-08,2015-11-13,Growth Stage,0,2015-10-12
28010,BdTR2b_R1S,BdTR2b,Clone1,1,661,BVZ0049,SRE,NCRIS-2,1B5,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.1,2015-10-12
28011,BdTR9b_R2S,BdTR9b,Clone4,2,718,BVZ0049,SRE,NCRIS-2,1C1,2015-09-24,2015-10-02,2015-10-07,2015-12-03,Growth Stage,1.1,2015-10-12
28012,BdTR11d_R2S,BdTR11d,Clone6,2,745,BVZ0049,SRE,NCRIS-2,1C2,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12
28013,BdTR3s_R2S,BdTR3s,Clone2,2,693,BVZ0049,SRE,NCRIS-2,1C3,2015-09-24,2015-10-02,2015-10-07,2015-12-01,Growth Stage,1.1,2015-10-12
28014,BRO1-1_R2S,BRO1-1,HYB1,2,278,BVZ0049,SRE,NCRIS-2,1C4,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12
28015,BdTR10c_R1S,BdTR10c,Clone5,1,730,BVZ0049,SRE,NCRIS-2,1C5,2015-09-24,2015-10-02,2015-10-08,2015-11-23,Growth Stage,1.3,2015-10-12
28016,BdTR3d_R1S,BdTR3d,Clone2,1,680,BVZ0049,SRE,NCRIS-2,1D1,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1,2015-10-12
28017,BdTR3e_R2S,BdTR3e,Clone2,2,681,BVZ0049,SRE,NCRIS-2,1D2,2015-09-24,2015-10-02,2015-10-07,2015-12-03,Growth Stage,1.1,2015-10-12
28018,BdTR10f_R1S,BdTR10f,Clone4,1,733,BVZ0049,SRE,NCRIS-2,1D3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.2,2015-10-12
28019,BdTR5g_R3S,BdTR5g,Clone3,3,701,BVZ0049,SRE,NCRIS-2,1D4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12
28020,BdTR2g_R1S,BdTR2g,Clone1,1,666,BVZ0049,SRE,NCRIS-2,2A1,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.2,2015-10-12
28021,BdTR2n_R1S,BdTR2n,Clone1,1,672,BVZ0049,SRE,NCRIS-2,2A2,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.3,2015-10-12
28022,BdTR3c_R2S,BdTR3c,Clone2,2,679,BVZ0049,SRE,NCRIS-2,2A3,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.4,2015-10-12
28023,BdTR3i_R2S,BdTR3i,Clone2,2,685,BVZ0049,SRE,NCRIS-2,2A4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.3,2015-10-12
28024,BdTR3r_R3S,BdTR3r,Clone2,3,692,BVZ0049,SRE,NCRIS-2,2A5,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,1.4,2015-10-12
28025,BdTR5j_R3S,BdTR5j,Clone3,3,704,BVZ0049,SRE,NCRIS-2,2B1,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12
28026,Bd21_R16S,Bd21,Bd21,16,4741,BVZ0049,SRE,NCRIS-2,2B2,2015-09-24,2015-10-02,2015-10-09,2015-11-20,Growth Stage,0,2015-10-12
28027,BdTR10i_R3S,BdTR10i,Clone5,3,736,BVZ0049,SRE,NCRIS-2,2B3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.2,2015-10-12
28028,BdTR13g_R1S,BdTR13g,Clone7,1,760,BVZ0049,SRE,NCRIS-2,2B4,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.3,2015-10-12
28029,BdTR9g_R2S,BdTR9g,Clone4,2,722,BVZ0049,SRE,NCRIS-2,2B5,2015-09-24,2015-10-02,2015-10-07,2015-11-27,Growth Stage,0,2015-10-12
28030,BdTR13c_R2S,BdTR13c,Clone7,2,756,BVZ0049,SRE,NCRIS-2,2C1,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.3,2015-10-12
28031,ELI10_R2S,ELI10,HYB1,2,349,BVZ0049,SRE,NCRIS-2,2C2,2015-09-24,2015-10-02,2015-10-07,2015-11-13,Growth Stage,0,2015-10-12
